PID,Date,Time,IP Address,Port,Username,Scenario,Details
343307,May 13,10:04:58,NULL,NULL,NULL,Connection closed,IP
378522,May 13,10:36:09,NULL,NULL,NULL,Connection closed,IP
624997,May  4,00:06:32,NULL,NULL,NULL,Connection closed,IP
627300,May  4,00:25:00,20.65.193.55,42804,NULL,Connection closed,IP
630436,May  4,00:49:48,NULL,NULL,NULL,Connection closed,IP
639859,May  4,02:05:52,171.251.18.1,35766,NULL,Connection closed,IP
640358,May  4,02:08:58,192.155.90.118,4972,NULL,Connection closed,IP
640371,May  4,02:08:59,192.155.90.118,4988,NULL,Connection closed,IP
640373,May  4,02:09:01,192.155.90.118,5004,NULL,Connection closed,IP
642038,May  4,02:22:13,NULL,NULL,NULL,banner line contains invalid characters,NULL
642762,May  4,02:27:55,NULL,NULL,NULL,Connection closed,IP
642763,May  4,02:28:07,NULL,NULL,NULL,Connection closed,IP
642818,May  4,02:28:20,NULL,NULL,NULL,banner line contains invalid characters,NULL
642819,May  4,02:28:23,NULL,NULL,NULL,Connection closed,IP
652554,May  4,03:45:46,NULL,NULL,NULL,client sent invalid protocol identifier,NULL
652556,May  4,03:45:46,NULL,NULL,NULL,Connection closed,IP
652555,May  4,03:45:51,NULL,NULL,NULL,Connection closed,IP
652884,May  4,03:48:24,NULL,NULL,NULL,banner line contains invalid characters,NULL
652896,May  4,03:48:41,18.222.122.212,42650,NULL,Connection closed,IP
653855,May  4,03:56:07,NULL,NULL,NULL,Connection closed,IP
662545,May  4,05:05:21,NULL,NULL,NULL,Connection closed,IP
663952,May  4,05:16:37,NULL,NULL,NULL,Connection closed,IP
666486,May  4,05:36:49,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
679711,May  4,07:21:45,NULL,NULL,NULL,Connection closed,IP
683257,May  4,07:50:07,NULL,NULL,NULL,Connection closed,IP
685748,May  4,08:10:05,172.236.228.202,47682,NULL,Connection closed,IP
685750,May  4,08:10:06,172.236.228.202,30148,NULL,Connection closed,IP
693224,May  4,09:10:01,NULL,NULL,NULL,Connection closed,IP
713107,May  4,11:48:54,NULL,NULL,NULL,banner line contains invalid characters,NULL
717106,May  4,12:20:49,NULL,NULL,NULL,banner line contains invalid characters,NULL
717773,May  4,12:26:09,NULL,NULL,NULL,Connection closed,IP
718078,May  4,12:28:40,NULL,NULL,NULL,Connection closed,IP
720383,May  4,12:47:01,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
733182,May  4,14:29:26,NULL,NULL,NULL,banner line contains invalid characters,NULL
733674,May  4,14:33:22,NULL,NULL,NULL,Connection closed,IP
736414,May  4,14:55:16,NULL,NULL,NULL,Connection closed,IP
757935,May  4,17:46:57,NULL,NULL,NULL,Connection closed,IP
770561,May  4,19:27:39,NULL,NULL,NULL,Connection closed,IP
771398,May  4,19:34:18,NULL,NULL,NULL,banner line contains invalid characters,NULL
775466,May  4,20:06:45,NULL,NULL,NULL,Connection closed,IP
775467,May  4,20:06:46,223.113.128.174,54684,NULL,Connection closed,IP
775469,May  4,20:06:48,223.113.128.174,55776,NULL,Connection closed,IP
782265,May  4,21:00:51,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
786841,May  4,21:37:47,162.142.125.193,34154,NULL,Connection closed,IP
795655,May  4,22:47:48,NULL,NULL,NULL,Connection closed,IP
805530,May  5,00:06:05,NULL,NULL,NULL,Connection closed,IP
817492,May  5,01:41:29,172.202.118.22,37318,NULL,Connection closed,IP
818007,May  5,01:45:27,64.62.156.17,13321,64.62.156.17,Connection closed,invalid user
821120,May  5,02:10:09,172.104.11.46,16080,NULL,Connection closed,IP
821122,May  5,02:10:10,172.104.11.46,16088,NULL,Connection closed,IP
821124,May  5,02:10:12,172.104.11.46,43246,NULL,Connection closed,IP
834477,May  5,03:56:05,NULL,NULL,NULL,Connection closed,IP
834478,May  5,03:56:05,NULL,NULL,NULL,Connection closed,IP
842876,May  5,05:02:59,NULL,NULL,NULL,banner line contains invalid characters,NULL
843041,May  5,05:04:14,NULL,NULL,NULL,Connection closed,IP
843042,May  5,05:04:39,39.102.209.56,42288,NULL,NULL,NULL
843042,May  5,05:04:39,39.102.209.56,42288,NULL,NULL,NULL
845203,May  5,05:21:25,NULL,NULL,NULL,Connection closed,IP
845476,May  5,05:24:03,NULL,NULL,NULL,banner line contains invalid characters,NULL
850231,May  5,06:01:27,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
858322,May  5,07:05:22,NULL,NULL,NULL,Connection closed,IP
858323,May  5,07:05:37,106.75.12.9,57572,NULL,Connection closed,IP
866214,May  5,08:08:23,172.104.11.46,18350,NULL,Connection closed,IP
866227,May  5,08:08:24,172.104.11.46,18368,NULL,Connection closed,IP
866229,May  5,08:08:25,172.104.11.46,18382,NULL,Connection closed,IP
868154,May  5,08:23:58,71.6.232.25,49882,NULL,Connection closed,IP
869656,May  5,08:35:53,NULL,NULL,NULL,banner line contains invalid characters,NULL
872630,May  5,08:59:38,NULL,NULL,NULL,banner line contains invalid characters,NULL
872631,May  5,08:59:39,NULL,NULL,NULL,Connection closed,IP
872662,May  5,08:59:54,NULL,NULL,NULL,Connection closed,IP
872674,May  5,09:00:00,NULL,NULL,NULL,client sent invalid protocol identifier,GET http://passport.baidu.com/ HTTP/1.1
872686,May  5,09:00:00,NULL,NULL,NULL,banner line contains invalid characters,NULL
883960,May  5,10:30:14,NULL,NULL,NULL,banner line contains invalid characters,NULL
886016,May  5,10:47:01,167.94.138.53,41928,NULL,Connection closed,IP
889054,May  5,11:10:55,NULL,NULL,NULL,Connection closed,IP
896244,May  5,12:08:29,NULL,NULL,NULL,Connection closed,IP
903015,May  5,13:02:17,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
911846,May  5,14:13:07,172.236.228.229,36444,NULL,Connection closed,IP
911848,May  5,14:13:09,172.236.228.229,36454,NULL,Connection closed,IP
911859,May  5,14:13:12,172.236.228.229,51556,NULL,Connection closed,IP
922929,May  5,15:41:36,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
924573,May  5,15:54:44,NULL,NULL,NULL,Connection closed,IP
925714,May  5,16:03:46,NULL,NULL,NULL,Connection closed,IP
925737,May  5,16:04:00,121.37.128.117,47664,NULL,Connection reset,IP
933139,May  5,17:03:12,NULL,NULL,NULL,banner line contains invalid characters,NULL
952163,May  5,19:35:30,NULL,NULL,NULL,Connection closed,IP
953492,May  5,19:46:09,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
955671,May  5,20:03:37,NULL,NULL,NULL,Connection closed,IP
956374,May  5,20:09:22,172.236.228.245,40980,NULL,Connection closed,IP
956386,May  5,20:09:25,172.236.228.245,40982,NULL,Connection closed,IP
956388,May  5,20:09:26,172.236.228.245,53698,NULL,Connection closed,IP
959600,May  5,20:35:01,NULL,NULL,NULL,Connection closed,IP
970374,May  5,22:00:59,65.49.1.232,62169,65.49.1.232,Connection closed,invalid user
973479,May  5,22:25:45,NULL,NULL,NULL,Connection closed,IP
976057,May  5,22:46:15,NULL,NULL,NULL,Connection reset,IP
976069,May  5,22:46:15,111.7.96.151,45522,111.7.96.151,Connection closed,invalid user
977757,May  5,22:59:44,NULL,NULL,NULL,Connection closed,IP
979709,May  5,23:15:13,NULL,NULL,NULL,banner line contains invalid characters,NULL
982074,May  5,23:34:06,NULL,NULL,NULL,Connection closed,IP
987306,May  6,00:15:39,47.101.137.46,60398,47.101.137.46,Connection closed,invalid user
989732,May  6,00:34:51,NULL,NULL,NULL,Connection closed,IP
1001510,May  6,02:08:40,172.104.11.46,9456,NULL,Connection closed,IP
1001512,May  6,02:08:42,172.104.11.46,9466,NULL,Connection closed,IP
1001525,May  6,02:08:43,172.104.11.46,9474,NULL,Connection closed,IP
1001821,May  6,02:11:04,NULL,NULL,NULL,Connection closed,IP
1015926,May  6,04:03:13,NULL,NULL,NULL,Connection closed,IP
1016463,May  6,04:07:33,NULL,NULL,NULL,Connection closed,IP
1018904,May  6,04:27:00,NULL,NULL,NULL,Connection closed,IP
1024409,May  6,05:11:00,NULL,NULL,NULL,banner line contains invalid characters,NULL
1036934,May  6,06:50:34,NULL,NULL,NULL,Connection closed,IP
1036935,May  6,06:50:35,87.236.176.196,39601,NULL,Connection closed,IP
1043058,May  6,07:39:07,NULL,NULL,NULL,Connection closed,IP
1046637,May  6,08:08:03,172.105.128.11,26428,NULL,Connection closed,IP
1046650,May  6,08:08:05,172.105.128.11,19050,NULL,Connection closed,IP
1046652,May  6,08:08:06,172.105.128.11,19058,NULL,Connection closed,IP
1052098,May  6,08:51:49,NULL,NULL,NULL,Connection closed,IP
1056948,May  6,09:30:50,NULL,NULL,NULL,banner line contains invalid characters,NULL
1057146,May  6,09:32:46,36.111.156.244,43142,NULL,Connection closed,IP
1063948,May  6,10:27:00,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1078575,May  6,12:24:16,NULL,NULL,NULL,banner line contains invalid characters,NULL
1079332,May  6,12:30:20,NULL,NULL,NULL,Connection closed,IP
