PID,Date,Time,IP Address,Port,Username,Scenario,Details,Source
1206060,Apr 14,00:37:34,185.247.137.66,50539.0,NULL,Connection closed,IP,"Türkiye, Bursa Province, Bursa, Driftnet Ltd"
1211953,Apr 14,01:24:34,139.19.117.131,57128.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1212252,Apr 14,01:26:52,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22,NULL
1214625,Apr 14,01:45:42,NULL,NULL,NULL,Connection closed,IP,NULL
1215752,Apr 14,01:54:46,NULL,NULL,NULL,Connection closed,IP,NULL
1217063,Apr 14,02:05:10,NULL,NULL,NULL,Connection closed,IP,NULL
1217625,Apr 14,02:09:36,NULL,NULL,NULL,Connection closed,IP,NULL
1218782,Apr 14,02:18:43,NULL,NULL,NULL,Connection closed,IP,NULL
1218783,Apr 14,02:19:03,159.65.124.125,3196.0,NULL,Connection closed,IP,"Germany, Hesse, Frankfurt am Main, DigitalOcean, LLC"
1219514,Apr 14,02:24:34,139.19.117.131,46694.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1220632,Apr 14,02:33:30,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1220633,Apr 14,02:33:30,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1227037,Apr 14,03:24:37,139.19.117.131,50788.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1227962,Apr 14,03:31:48,NULL,NULL,NULL,Connection closed,IP,NULL
1231672,Apr 14,04:01:25,NULL,NULL,NULL,Connection closed,IP,NULL
1231806,Apr 14,04:02:28,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1239585,Apr 14,05:04:30,NULL,NULL,NULL,Connection closed,IP,NULL
1241335,Apr 14,05:18:26,139.19.117.131,47322.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1241392,Apr 14,05:18:50,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1248793,Apr 14,06:17:08,139.19.117.131,33832.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1255928,Apr 14,07:13:34,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1255929,Apr 14,07:13:34,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1256389,Apr 14,07:17:07,139.19.117.131,48778.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1261447,Apr 14,07:57:33,NULL,NULL,NULL,Connection closed,IP,NULL
1263063,Apr 14,08:10:33,45.79.181.223,24952.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies, Inc."
1263065,Apr 14,08:10:34,45.79.181.223,24954.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies, Inc."
1263079,Apr 14,08:10:35,45.79.181.223,24964.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies, Inc."
1263911,Apr 14,08:17:08,139.19.117.131,46646.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1264365,Apr 14,08:20:58,NULL,NULL,NULL,Connection closed,IP,NULL
1271372,Apr 14,09:17:09,139.19.117.131,40510.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1278855,Apr 14,10:17:09,139.19.117.131,43332.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1279031,Apr 14,10:18:34,NULL,NULL,NULL,Connection closed,IP,NULL
1287348,Apr 14,11:24:43,NULL,NULL,NULL,Connection closed,IP,NULL
1288761,Apr 14,11:36:00,NULL,NULL,NULL,Connection closed,IP,NULL
1289821,Apr 14,11:44:25,220.170.112.22,43860.0,user,Dictionary Attack,NULL,"China, Jiangxi, Shangli, Liuyang Shi, Hengyang"
1289853,Apr 14,11:44:41,220.170.112.22,45316.0,admin,Dictionary Attack,NULL,"China, Jiangxi, Shangli, Liuyang Shi, Hengyang"
1293621,Apr 14,12:14:47,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1293821,Apr 14,12:16:21,139.19.117.131,57482.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1298669,Apr 14,12:55:10,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1298962,Apr 14,12:57:33,NULL,NULL,NULL,Connection closed,IP,NULL
1301023,Apr 14,13:14:03,139.19.117.131,52828.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1303825,Apr 14,13:36:28,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1304570,Apr 14,13:42:28,NULL,NULL,NULL,Connection closed,IP,NULL
1306754,Apr 14,13:59:57,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1307901,Apr 14,14:09:09,NULL,NULL,NULL,Connection closed,IP,NULL
1308449,Apr 14,14:13:32,172.104.11.34,28150.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies"
1308451,Apr 14,14:13:34,172.104.11.34,28152.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies"
1308453,Apr 14,14:13:36,172.104.11.34,28166.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies"
1308518,Apr 14,14:14:03,139.19.117.131,51720.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1313377,Apr 14,14:52:53,NULL,NULL,NULL,Connection closed,IP,NULL
1314662,Apr 14,15:03:12,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1316017,Apr 14,15:14:06,139.19.117.131,46446.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1318605,Apr 14,15:34:40,NULL,NULL,NULL,Connection closed,IP,NULL
1321252,Apr 14,15:55:45,18.97.5.101,58594.0,NULL,Connection closed,invalid user,"United States, Virginia, Ashburn, Amazon.com, Inc."
1323517,Apr 14,16:14:04,139.19.117.131,60518.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1331018,Apr 14,17:14:05,139.19.117.131,44484.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1336257,Apr 14,17:55:56,71.6.232.24,37600.0,NULL,Connection closed,IP,"United States, Nevada, Henderson, Green Valley Ranch, CariNet, Inc."
1336411,Apr 14,17:57:02,NULL,NULL,NULL,Connection closed,IP,NULL
1338545,Apr 14,18:14:06,139.19.117.131,38504.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1342818,Apr 14,18:48:10,NULL,NULL,NULL,Connection closed,IP,NULL
1344479,Apr 14,19:01:30,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1348434,Apr 14,19:33:03,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22,NULL
1353765,Apr 14,20:15:31,139.19.117.131,36626.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1355215,Apr 14,20:27:06,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1356130,Apr 14,20:34:25,NULL,NULL,NULL,Connection closed,IP,NULL
1357458,Apr 14,20:44:59,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1357459,Apr 14,20:45:18,NULL,NULL,NULL,Connection closed,IP,NULL
1357507,Apr 14,20:45:21,165.154.10.165,37626.0,NULL,Connection closed,IP,"Nigeria, Lagos, Lagos, UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED"
1357509,Apr 14,20:45:21,NULL,NULL,NULL,NULL,NULL,NULL
1360196,Apr 14,21:06:55,NULL,NULL,NULL,Connection closed,IP,NULL
1360762,Apr 14,21:11:24,139.19.117.131,45414.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1368274,Apr 14,22:11:27,139.19.117.131,37998.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1368628,Apr 14,22:14:16,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1369032,Apr 14,22:17:25,NULL,NULL,NULL,Connection closed,IP,NULL
1369020,Apr 14,22:17:31,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1369114,Apr 14,22:18:58,47.104.15.180,51028.0,NULL,NULL,NULL,"China, Shandong, Qingdao, Hangzhou Alibaba Advertising Co"
1369114,Apr 14,22:18:58,47.104.15.180,51028.0,NULL,NULL,NULL,"China, Shandong, Qingdao, Hangzhou Alibaba Advertising Co"
1369183,Apr 14,22:19:01,47.104.15.180,38824.0,NULL,NULL,NULL,"China, Shandong, Qingdao, Hangzhou Alibaba Advertising Co"
1369183,Apr 14,22:19:01,47.104.15.180,38824.0,NULL,NULL,NULL,"China, Shandong, Qingdao, Hangzhou Alibaba Advertising Co"
1369317,Apr 14,22:20:31,47.104.15.180,54710.0,NULL,Connection reset,IP,"China, Shandong, Qingdao, Hangzhou Alibaba Advertising Co"
1375815,Apr 14,23:11:29,139.19.117.131,49650.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1376095,Apr 14,23:13:43,14.103.111.167,56468.0,iman,Dictionary Attack,NULL,"China, Beijing, Beijing, BITNET"
1383417,Apr 15,00:11:27,139.19.117.131,51220.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1386263,Apr 15,00:34:30,206.168.34.122,56590.0,NULL,Connection closed,IP,"United States, Illinois, Chicago, Censys, Inc."
1390976,Apr 15,01:11:49,139.19.117.131,43988.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1394894,Apr 15,01:43:02,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22,NULL
1405513,Apr 15,03:07:35,NULL,NULL,NULL,Connection closed,IP,NULL
1405672,Apr 15,03:08:52,139.19.117.131,57570.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1410166,Apr 15,03:44:28,125.124.215.61,49124.0,root,Dictionary Attack,NULL,"China, Zhejiang, Yanguan, Chinanet"
1412821,Apr 15,04:05:40,139.19.117.131,48830.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1416312,Apr 15,04:33:21,NULL,NULL,NULL,Connection closed,IP,NULL
1416741,Apr 15,04:36:48,NULL,NULL,NULL,Connection closed,IP,NULL
1420373,Apr 15,05:05:42,139.19.117.131,36194.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1427894,Apr 15,06:05:42,139.19.117.131,53426.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1431011,Apr 15,06:30:02,NULL,NULL,NULL,Connection closed,IP,NULL
1431133,Apr 15,06:30:58,NULL,NULL,NULL,Connection closed,IP,NULL
1433033,Apr 15,06:45:58,NULL,NULL,NULL,Connection closed,IP,NULL
1435485,Apr 15,07:05:43,139.19.117.131,51708.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1442912,Apr 15,08:04:57,NULL,NULL,NULL,Connection closed,IP,NULL
1443015,Apr 15,08:05:45,139.19.117.131,51800.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1457859,Apr 15,10:04:34,139.19.117.131,52666.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1462402,Apr 15,10:40:56,NULL,NULL,NULL,Connection closed,IP,NULL
1464909,Apr 15,11:00:54,139.19.117.131,47316.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1470612,Apr 15,11:46:33,NULL,NULL,NULL,Connection closed,IP,NULL
1472417,Apr 15,12:00:57,139.19.117.131,51518.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1479914,Apr 15,13:01:01,139.19.117.131,40590.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1482577,Apr 15,13:21:56,NULL,NULL,NULL,Connection closed,IP,NULL
1482842,Apr 15,13:24:02,NULL,NULL,NULL,Connection closed,IP,NULL
1483674,Apr 15,13:30:41,NULL,NULL,NULL,Connection closed,IP,NULL
1484939,Apr 15,13:40:51,NULL,NULL,NULL,Connection closed,IP,NULL
1487466,Apr 15,14:01:02,139.19.117.131,49900.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1492331,Apr 15,14:39:54,NULL,NULL,NULL,Connection closed,IP,NULL
1494983,Apr 15,15:01:02,139.19.117.131,34568.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1501129,Apr 15,15:50:09,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
